Club,Map Name,Nearest Town,Terrain,Map grade,Grid ref of SW corner,Grid ref of NE corner,Expected Completion Date,"Size, sq km",,,,,,,,,,,,,,,
FIN,Hill of Tara,"Navan, Co. Meath",parkland,Local,N921600,,summer 2007 ,3,,,,,,,,,,,,,,,
FIN,Howth,"Sutton, Dublin",open hillside,grade 3,O274300,O290382,2002,,,,,,,,,,,,,,,,
FIN,Littlewood,"Slane, Co. Meath",forest,grade 3,N967751,N974761,Sep-03,1,,,,,,,,,,,,,,,
FIN,Rockmarshall,"Dundalk, Co. Louth",open mountain,3,J127080,J143096,2006,4,,,,,,,,,,,,,,,
FIN,Santry demesne,"Santry, Dublin 9",park,Local,,,Dec-06,2,,,,,,,,,,,,,,,
FIN,Trim Castle and Porchfields,"Trim, Co. Meath",parkland,Local,N804567,,summer 2008,4,,,,,,,,,,,,,,,
FIN,Ward River Valley,"Swords, Co. Dublin",park and streets,C4,O117460,O119470,Jun-01,1.5,,,,,,,,,,,,,,,
GEN,Ringsend/ Irishtown,"Ringsend, Dublin",parks,Local,O180330,O210340,Sep-05,6,,,,,,,,,,,,,,,
SET,Carrickashane-Ballinagappoge,"Laragh, Co. Wicklow",forest,Local,T065818,T100876,May-05,10~,,,,,,,,,,,,,,,
SET,Coolatin Woods,"Shillelagh, Co. Wicklow",forest,championship,10670,30720,5-Jun,,,,,,,,,,,,,,,,
SET,Fair Mountain/Lough Firrib,Wicklow Gap,open mountain,championship,T030980,O070020,spring 2008,10,,,,,,,,,,,,,,,
SET,Glen of the downs & Kindlestown,"Kilmacanouge, Wicklow",forest,Local,260110,280130,,2,,,,,,,,,,,,,,,
SET,Newcastle demense,"Ballymahon, Co. Longford",mixed forest,Local,N176575,N202565,Autumn 2010,,,,,,,,,,,,,,,,
WEGO,Ards Forest Park,"Dunfanghy, Donegal","forest with roads, paths and tracks",local,C068345,C085355,april 2010,1,,,,,,,,,,,,,,,
WEGO,Athlone Business and Tech Park,Athlone,"park with roads, paths and buildings",school/campus/park,N069404,L073411,aug 2010,0.5,,,,,,,,,,,,,,,
WEGO,Baleese Wood,"Rathdrum, Co. Wicklow",woodland,Local,T198863,T194870,completed,1,,,,,,,,,,,,,,,
WEGO,Borrisokane Town Park,Borrisokane,park,park,M909941,M913942,Jan-10,0.3,,,,,,,,,,,,,,,
WEGO,Botanic Gardens,"Glasnevin, Dublin",Botanical Gardens,Local,O145373,O153374,completed,1,,,,,,,,,,,,,,,
WEGO,Carlisle Fort,"Whitegate, Cork",military barracks,Local,X823620,X820628,completed,2,,,,,,,,,,,,,,,
